Bandel;Startläge;Slutläge;Spårnamn;Event Category;Event Type;Start Date;End Date;Reference ID;Day Age;Last Edited By;Last Edited Time;Räl Beskrivning Yttersträng;Max Sidoslitage;Max Sidoslitage Yttersträng;Sträcka;Mätning;Befästningsmodell;Längd sträcka H > 6 mm Innersträng (m);Mätning Spårvidd;Spårklass;Räl Inläggningsår Innersträng;Medel Sidoslitage Cirkulärkurva;Hastighetsklass;Medel Spårvidd Cirkulärkurva;Slipermodell;Längd sträcka H > 6 mm Yttersträng (m);Räl Stålsort Yttersträng;Räl Stålsort Innersträng;Medel Höjdslitage Yttersträng Cirkulärkurva;Medel Höjdslitage Innersträng Cirkulärkurva;Radie;Längd sträcka H > 10 mm Innersträng (m);Medel Sidoslitage Innersträng Cirkulärkurva;Procent mätt Spårvidd;Max H Innersträng;Skriptversion;Räl Beskrivning Innersträng;Max H;Längd Kurva (m);_Skapat_av;Max Höjdslitage Innersträng;Medel H Yttersträng Cirkulärkurva;Procent mätt;Medel Spårvidd - Sidoslitage Cirkulärkurva;_Skapat_datum;Medel Höjdslitage Cirkulärkurva;Rälvikt (kg);Medel H Innersträng Cirkulärkurva;Längd sträcka H > 10 mm Yttersträng (m);Max Sidoslitage Innersträng;Max Spårvidd;Medel H Cirkulärkurva;Max Spårvidd - Max Sidoslitage;Max H Yttersträng;Max Höjdslitage;Plats;Längd Spårvidd max över UH1 gräns;Räl Inläggningsår Yttersträng;Skriptnamn;Max Höjdslitage Yttersträng;Min Spårvidd;Medel Sidoslitage Yttersträng Cirkulärkurva;Mätvagn;Mätdatum;Geometrityp;Räl Stålsort Höger räl;Medel Höjdslitage Vänster räl;BIS objnr;Längd sträcka H > 10 mm Vänster räl (m);Medel H Vänster räl;Medel Sidoslitage Vänster räl;Räl Inläggningsår Vänster räl;Räl Inläggningsår Höger räl;Max H Vänster räl;Max Höjdslitage Höger räl;Längd sträcka H > 10 mm Höger räl (m);Max Höjdslitage Vänster räl;Max Sidoslitage Vänster räl;Max Sidoslitage Höger räl;Medel Höjdslitage Höger räl;Medel H Höger räl;Medel Sidoslitage Höger räl;Max H Höger räl;Räl Beskrivning Vänster räl;Längd sträcka H > 6 mm Höger räl (m);Räl Stålsort Vänster räl;Räl Beskrivning Höger räl;Längd sträcka H > 6 mm Vänster räl (m);Medel Sidoslitage;Medel H;Medel Höjdslitage;Radie (meter);Event ID
117A;1295 + 193,0 m;1295 + 898,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269047;3383;;;14L60?;2,19;2,19;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;112.0;SPL_1507260938A_118A_E_1150_890;1;2010;1,67;2,0;10,5;B;;LHT;1100;0,9;3,59;-582,0;2.0;-0,08;100,0;10,42;2.4;93L60DO93;10,42;705;spajan01;10,88;1,73;100;8,83;160513 22:16;3,59;60;3,55;;0,41;15,9;3,55;13,71;2,64;10,88;Rps - Hrt;1252.3999999999999;2014;Rail Wear varningslista;2,53;0,9;1,67;;150726 00:00;;;;593;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1246 + 932,0 m;1247 + 179,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269072;3383;;;93L60DO93;1,33;0,86;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;;SPL_1507260938A_118A_E_1150_890;1;1993;0,57;3,0;7,3;B;;1100;1100;3,79;4,34;-1900,0;;0,57;100,0;5,71;2.4;93L60DO93;5,71;147;spajan01;5,37;3,62;100;6,73;160513 22:16;4,34;60;4,62;;1,33;9,1;4,62;7,77;4,74;5,37;Pc - Kva;;1993;Rail Wear varningslista;4,63;3,6;-0,35;;150726 00:00;;;;1001;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1258 + 795,0 m;1259 + 291,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269077;3383;;;10L60DO10;9,94;9,94;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;18.0;SPL_1507260938A_118A_E_1150_890;1;1989;7,35;2,0;16,2;B;480.0;LHT;900;6,73;2,83;-595,0;4.0;-0,28;100,0;10,4;2.4;89L60DO89;13,01;489;spajan01;10,42;10,41;100;8,85;160513 22:16;6,73;60;2,69;210.0;0,67;19,0;10,41;9,06;13,01;10,42;Kva - Ntv;942.4000000000002;2010;Rail Wear varningslista;9,89;0,8;7,35;;150726 00:00;;;;550;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1266 + 99,0 m;1266 + 359,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269081;3383;;;89L60DO89;2,25;2,25;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;293.0;SPL_1507260938A_118A_E_1150_890;1;1989;-0,03;2,0;4,2;B;73.0;900;900;1,74;7,51;875,0;;-0,3;100,0;8,79;2.4;89L60DO89;8,94;260;spajan01;8,92;1,73;100;4,23;160513 22:16;7,51;60;7,36;;1,23;7,6;7,36;5,35;8,94;8,92;Ntv - Klv;;1989;Rail Wear varningslista;8,83;-0,2;-0,03;;150726 00:00;;;;1053;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1235 + 954,0 m;1236 + 330,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269084;3383;;;93L60DO93;4,68;4,68;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;132.0;SPL_1507260938A_118A_E_1150_890;1;1993;3,56;2,0;13,6;B2.5;51.0;HT;HT;3,43;3,16;395,0;;0,47;100,0;9,19;2.4;93L60DO93;9,19;386;spajan01;9,44;5,21;101;10,04;160513 22:16;3,43;60;3,4;;0,67;16,9;5,21;12,22;8,43;9,44;Mk - Pc;81.9;1993;Rail Wear varningslista;7,9;1,0;3,56;;150726 00:00;;;;509;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1236 + 564,0 m;1236 + 989,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;110411 00:00;110611 00:00;2363269098;4950;;;93L60DO93;1,17;1,17;Linje;RPM_1104111236A_117A_E_1152_212;P-Ec;96.0;;1;1993;0,56;2,0;;B2.5;;1100;1100;0,39;4,84;-504,0;;0,37;;7,23;2.4;93L60DO93;7,23;425;spajan01;6,92;0,67;100;;160518 19:02;4,84;60;5,02;;1,16;;5,02;;1,27;6,92;Mk - Pc;;1993;Rail Wear varningslista;0,75;;0,56;;110411 00:00;;;;512;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1286 + 994,0 m;1287 + 297,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;110411 00:00;110611 00:00;2363269100;4950;;;93L60DO93;6,42;6,42;Linje;RPM_1104111236A_117A_E_1152_212;p-Ecd;;;1;1993;5,27;2,0;;B;146.0;1100;1100;4,39;3,72;-615,0;;0,66;;4,75;2.4;93L60DO93;7,68;303;spajan01;4,36;7,02;100;;160518 19:02;4,39;60;4,05;;1,11;;7,02;;7,68;4,61;Nrt - Rps;;1993;Rail Wear varningslista;4,61;;5,27;;110411 00:00;;;;586;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1304 + 404,0 m;1304 + 575,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;110411 00:00;110611 00:00;2363269106;4950;;;87L60DO87;3,67;2,32;Linje;RPM_1104111236A_117A_E_1152_212;P-Ec;796.0;;1;2007;1,88;2,0;;B2.5F;;900;1100;1,7;8,79;-1065,0;20.0;1,51;;11,51;2.4;07L60DO07;11,51;171;spajan01;10,13;2,64;100;;160518 19:02;8,79;60;9,55;;3,67;;9,55;;3,0;10,13;Kaa - Gv;;1987;Rail Wear varningslista;1,89;;1,88;;110411 00:00;;;;1142;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1242 + 554,0 m;1242 + 564,0 m;2;RPM Rälslitage i kurva;Rälslitage i kurva;101017 00:00;101217 00:00;2363269109;5126;;;00L60L00;0,58;0,58;Driftplats (ahsp);RPM_1010171115A_117A_E_1244_788;P-Ec;;;1;2000;0,57;1,0;;B;;1100;1100;0,61;0,28;-967,0;;0,0;;0,41;2.4;00L60L00;1,07;10;spajan01;0,41;0,9;100;;160519 18:55;0,61;60;0,28;;0,0;;0,9;;1,07;0,79;Pc;;2000;Rail Wear varningslista;0,79;;0,57;;101017 00:00;;;;27176;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1292 + 976,0 m;1293 + 25,0 m;2;RPM Rälslitage i kurva;Rälslitage i kurva;110411 00:00;110611 00:00;2363269110;4950;;;14L60DO14;3,63;3,63;Driftplats (ahsp);RPM_1104111236A_117A_E_1152_212;P-Fc;;;1;2014;2,57;1,0;;B2.5;2.0;LHT;LHT;3,95;3,24;-3610,0;;0,0;;3,61;2.4;14L60DO14;6,08;46;spajan01;3,61;5,23;100;;160518 19:02;3,95;60;3,24;;0,0;;5,23;;6,08;4,3;Rps;;2014;Rail Wear varningslista;4,3;;2,57;;110411 00:00;;;;55645;;;;;;;;;;;;;;;;;;;;;;;;;
