Bandel,Startläge,Slutläge,Spårnamn,Start Date,End Date,Day Age,Radie,Medel Spårvidd Cirkulärkurva,Mätning Spårvidd
118,"1212 + 928,0 m","1213 + 77,0 m",E,121101 00:00,130101 00:00,4380,"-3520,0",,
118,"1178 + 584,0 m","1179 + 143,0 m",E,121101 00:00,130101 00:00,4380,"-988,0",,
118,"1195 + 767,0 m","1196 + 293,0 m",E,121101 00:00,130101 00:00,4380,"-400,0",,
118,"1205 + 752,0 m","1206 + 120,0 m",E,121101 00:00,130101 00:00,4380,"-845,0",,
118,"1211 + 477,0 m","1211 + 676,0 m",E,121101 00:00,130101 00:00,4380,"-1410,0",,
118,"1217 + 260,0 m","1217 + 489,0 m",E,121101 00:00,130101 00:00,4380,"-1330,0",,
118,"1153 + 862,0 m","1154 + 242,0 m",E,121101 00:00,130101 00:00,4380,"-925,0",,
118,"1151 + 766,0 m","1152 + 70,0 m",E,121101 00:00,130101 00:00,4380,"-1750,0",,
118,"1165 + 476,0 m","1165 + 807,0 m",E,121101 00:00,130101 00:00,4380,"-900,0",,
118,"1166 + 421,0 m","1166 + 843,0 m",E,121101 00:00,130101 00:00,4380,"-900,0",,
118,"1150 + 890,0 m","1150 + 998,0 m",E,121101 00:00,130101 00:00,4380,"-840,0",,
118,"1193 + 812,0 m","1194 + 20,0 m",2,121101 00:00,130101 00:00,4380,"-840,0",,
118,"1201 + 143,0 m","1201 + 526,0 m",E,121101 00:00,130101 00:00,4380,"-673,0",,
118,"1217 + 914,0 m","1218 + 756,0 m",E,121101 00:00,130101 00:00,4380,"-1210,0",,
118,"1196 + 529,0 m","1196 + 703,0 m",E,121101 00:00,130101 00:00,4380,"-1274,0",,
118,"1207 + 501,0 m","1207 + 826,0 m",E,121101 00:00,130101 00:00,4380,"-1000,0",,
118,"1209 + 662,0 m","1209 + 874,0 m",E,121101 00:00,130101 00:00,4380,"1040,0",,
118,"1209 + 408,0 m","1209 + 594,0 m",E,121101 00:00,130101 00:00,4380,"1080,0",,
118,"1153 + 862,0 m","1154 + 242,0 m",E,120429 00:00,120629 00:00,4566,"-925,0",,
118,"1185 + 250,0 m","1185 + 653,0 m",E,130816 00:00,131016 00:00,4092,"393,0",,
118,"1184 + 485,0 m","1184 + 518,0 m",2,120429 00:00,120629 00:00,4566,"-300,0",,
118,"1192 + 633,0 m","1192 + 815,0 m",E,130816 00:00,131016 00:00,4092,"1620,0",,
118,"1183 + 714,0 m","1183 + 747,0 m",2,120429 00:00,120629 00:00,4566,"-300,0",,
118,"1163 + 916,0 m","1164 + 148,0 m",E,130816 00:00,131016 00:00,4092,"1150,0",,
118,"1201 + 910,0 m","1202 + 219,0 m",E,120429 00:00,120629 00:00,4566,"1000,0",,
118,"1230 + 931,0 m","1230 + 948,0 m",2,120429 00:00,120629 00:00,4566,"-300,0",,
118,"1207 + 826,0 m","1208 + 111,0 m",E,120429 00:00,120629 00:00,4566,"989,0",,
118,"1209 + 74,0 m","1209 + 204,0 m",E,130816 00:00,131016 00:00,4092,"8000,0",,
118,"1225 + 571,0 m","1225 + 931,0 m",E,130816 00:00,131016 00:00,4092,"523,0",,
118,"1165 + 476,0 m","1165 + 807,0 m",E,120429 00:00,120629 00:00,4566,"-900,0",,
118,"1151 + 766,0 m","1152 + 70,0 m",E,120429 00:00,120629 00:00,4566,"-1750,0",,
118,"1191 + 556,0 m","1191 + 825,0 m",E,120429 00:00,120629 00:00,4566,"-450,0",,
118,"1166 + 421,0 m","1166 + 843,0 m",E,120429 00:00,120629 00:00,4566,"-900,0",,
118,"1206 + 392,0 m","1206 + 417,0 m",E,130816 00:00,131016 00:00,4092,"-3000,0",,
118,"1206 + 417,0 m","1206 + 692,0 m",E,130816 00:00,131016 00:00,4092,"-901,0",,
118,"1220 + 876,0 m","1221 + 163,0 m",E,130816 00:00,131016 00:00,4092,"465,0",,
118,"1199 + 115,0 m","1199 + 157,0 m",E,130816 00:00,131016 00:00,4092,"-682,0",,
118,"1227 + 730,0 m","1228 + 185,0 m",E,130816 00:00,131016 00:00,4092,"-585,0",,
118,"1198 + 683,0 m","1199 + 115,0 m",E,130816 00:00,131016 00:00,4092,"-612,0",,
118,"1200 + 78,0 m","1200 + 295,0 m",E,130816 00:00,131016 00:00,4092,"850,0",,
118,"1191 + 825,0 m","1192 + 87,0 m",E,130816 00:00,131016 00:00,4092,"453,0",,
118,"1209 + 594,0 m","1209 + 662,0 m",E,120429 00:00,120629 00:00,4566,"3000,0",,
118,"1222 + 256,0 m","1222 + 371,0 m",2,120429 00:00,120629 00:00,4566,"2500,0",,
118,"1176 + 780,0 m","1177 + 28,0 m",E,120429 00:00,120629 00:00,4566,"965,0",,
118,"1160 + 175,0 m","1161 + 535,0 m",E,120429 00:00,120629 00:00,4566,"1600,0",,
118,"1219 + 880,0 m","1220 + 276,0 m",E,120429 00:00,120629 00:00,4566,"930,0",,
118,"1154 + 955,0 m","1155 + 270,0 m",E,120429 00:00,120629 00:00,4566,"650,0",,
118,"1190 + 461,0 m","1190 + 819,0 m",E,130816 00:00,131016 00:00,4092,"-1010,0",,
118,"1196 + 734,0 m","1196 + 970,0 m",E,130816 00:00,131016 00:00,4092,"417,0",,
118,"1199 + 723,0 m","1200 + 44,0 m",E,120429 00:00,120629 00:00,4566,"535,0",,
118,"1214 + 17,0 m","1214 + 206,0 m",E,130816 00:00,131016 00:00,4092,"1100,0",,
118,"1182 + 939,0 m","1183 + 181,0 m",E,120429 00:00,120629 00:00,4566,"720,0",,
118,"1176 + 397,0 m","1176 + 445,0 m",E,130816 00:00,131016 00:00,4092,"38000,0",,
118,"1192 + 983,0 m","1193 + 642,0 m",E,130816 00:00,131016 00:00,4092,"1775,0",,
118,"1176 + 397,0 m","1176 + 445,0 m",E,120816 00:00,121016 00:00,4457,"38000,0",,
118,"1189 + 590,0 m","1189 + 929,0 m",E,120816 00:00,121016 00:00,4457,"625,0",,
118,"1182 + 939,0 m","1183 + 181,0 m",E,120816 00:00,121016 00:00,4457,"720,0",,
118,"1230 + 931,0 m","1230 + 948,0 m",2,150505 00:00,150705 00:00,3465,"-300,0","1,5",SPL_1505051454A_118A_E_1230_634
118,"1230 + 970,0 m","1230 + 991,0 m",2,150505 00:00,150705 00:00,3465,"5000,0","-3,0",SPL_1505051454A_118A_E_1230_634
118,"1230 + 889,0 m","1230 + 905,0 m",2,150505 00:00,150705 00:00,3465,"300,0","13,5",SPL_1505051454A_118A_E_1230_634
118,"1231 + 540,0 m","1231 + 950,0 m",E,150505 00:00,150705 00:00,3465,"959,0","8,6",SPL_1505051454A_118A_E_1230_634
118,"1177 + 226,0 m","1177 + 421,0 m",E,120816 00:00,121016 00:00,4457,"1500,0",,
118,"1226 + 659,0 m","1226 + 996,0 m",E,130816 00:00,131016 00:00,4092,"620,0",,
118,"1219 + 392,0 m","1219 + 622,0 m",E,120429 00:00,120629 00:00,4566,"1170,0",,
118,"1215 + 937,0 m","1216 + 104,0 m",E,130816 00:00,131016 00:00,4092,"1815,0",,
118,"1186 + 629,0 m","1186 + 860,0 m",E,120429 00:00,120629 00:00,4566,"895,0",,
118,"1189 + 590,0 m","1189 + 929,0 m",E,130816 00:00,131016 00:00,4092,"625,0",,
